

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
057.231  001.084  000.068: require('null-ls.helpers')
057.783  000.150  000.150: require('null-ls.methods')
057.788  000.339  000.189: require('null-ls.diagnostics')
057.795  000.562  000.223: require('null-ls.sources')
057.875  000.078  000.078: require('null-ls.builtins')
057.877  002.135  000.092: require('null-ls')
057.981  000.102  000.102: require('null-ls.builtins.formatting.prettier')
058.102  000.073  000.073: require('null-ls.builtins.formatting.black')
058.188  000.074  000.074: require('null-ls.builtins.formatting.stylua')
058.260  000.069  000.069: require('null-ls.builtins.formatting.mix')
058.332  000.070  000.070: require('null-ls.builtins.formatting.rubocop')
058.493  000.103  000.103: require('null-ls.builtins.diagnostics.eslint')
058.520  000.184  000.081: require('null-ls.builtins.diagnostics.eslint_d')
058.717  000.185  000.185: require('null-ls.client')
058.841  000.105  000.105: require('null-ls.builtins.diagnostics.rubocop')
059.228  003.541  000.544: require('lsp.null_ls')
059.465  000.089  000.089: require('lspconfig.server_configurations.html')
060.054  000.131  000.131: require('lspconfig.server_configurations.cssls')
060.694  000.101  000.101: require('lspconfig.server_configurations.svelte')
061.620  000.347  000.347: require('vim.version')
063.609  002.424  002.077: require('lspconfig.server_configurations.awk_ls')
064.161  000.080  000.080: require('lspconfig.server_configurations.ruby_ls')
064.595  000.082  000.082: require('lspconfig.server_configurations.bashls')
065.095  000.090  000.090: require('lspconfig.server_configurations.lua_ls')
065.567  000.076  000.076: require('lspconfig.server_configurations.jsonls')
066.012  000.101  000.101: require('lspconfig.server_configurations.tailwindcss')
066.481  000.069  000.069: require('lspconfig.server_configurations.sqls')
066.880  000.070  000.070: require('lspconfig.server_configurations.elixirls')
066.941  000.044  000.044: require('mason-lspconfig.server_configurations.elixirls')
067.242  000.070  000.070: require('lspconfig.server_configurations.gopls')
067.676  000.125  000.125: require('lspconfig.server_configurations.clangd')
068.208  000.098  000.098: require('lspconfig.server_configurations.pyright')
068.599  000.082  000.082: require('lspconfig.server_configurations.solargraph')
068.966  000.070  000.070: require('lspconfig.server_configurations.cmake')
069.765  000.125  000.125: require('dap.utils')
069.782  000.626  000.501: require('dap')
069.785  000.654  000.029: require('debugger-config')
070.267  000.096  000.096: require('lualine_require')
070.453  000.636  000.540: require('lualine')
071.297  000.197  000.197: require('nightfox.lib.color')
071.300  000.283  000.085: require('nightfox.util.lualine')
071.443  000.072  000.072: require('nightfox.util.template')
071.445  000.144  000.072: require('nightfox.spec')
