1password 8.10.7-41
pdfarranger 1.9.2-2
picom 10.2-1
pkgconf 1.8.1-1
pkgfile 21-2
playerctl 2.4.1-3
polkit 122-1
polkit-gnome 0.105-10
polybar 3.6.3-3
poppler-glib 23.05.0-1
poppler-qt5 23.05.0-1
postgresql 15.3-1
postgresql-old-upgrade 14.7-2
ppp 2.4.9-3
pptpclient 1.10.0-3
pulseaudio 16.1-6
pulseaudio-alsa 1:1.2.7.1-2
pulseaudio-bluetooth 16.1-6
pv 1.6.20-2
python-pip 23.1.2-1
python-pyparted 3.12.0-3
qt5-webkit 5.212.0alpha4-19
qt5ct 1.7-1
qt6-base 6.5.1-1
qt6-doc 6.5.1-2
qt6-multimedia 6.5.1-1
ranger 1.9.3-9
rate-mirrors-bin 0.15.1-1
redis 7.0.11-1
refind 0.14.0.2-1
reflector 2021.11-7
reiserfsprogs 3.6.27-4
ripgrep 13.0.0-3
ristretto 0.13.1-1
rofi 1.7.5-1
rp-pppoe 3.15-2
rsync 3.2.7-4
rubocop 1.39.0-1
ruby 3.0.5-1
rxvt-unicode 9.31-3
rxvt-unicode-terminfo 9.31-3
sardi-icons 23.04-02
screen 4.9.0-1
scrot 1.9-1
sddm 0.20.0-2
sdl2_gfx 1:1.0.4-3
sdl2_image 2.6.3-1
sdl2_mixer 2.6.3-1
sdl2_ttf 2.20.2-1
sdl_gfx 2.0.26-5
sdl_image 1.2.12-8
sdl_mixer 1.2.12-12
sdl_ttf 2.0.11-6
sdparm 1.12-1
sed 4.9-3
sg3_utils 1.47-1
slack-desktop 4.32.122-1
smartmontools 7.3-1
sof-firmware 2.2.5-1
spdlog 1.11.0-2
speedtest-cli-git 2.1.3.r1.g22210-2
squashfs-tools 4.6.1-1
sublime-text-4 4.4143-4
sudo 1.9.13.p3-1
surfn-icons-git 23.04-01
sxhkd 0.6.2-3
syslinux 6.04.pre2.r11.gbf6db5b4-3
system-config-printer 1.5.18-2
tcpdump 4.99.4-1
terminus-font 4.49.1-5
testdisk 7.1-5
texinfo 7.0.3-1
the_silver_searcher 2.2.0-2
thunar 4.18.6-1
thunar-archive-plugin 0.5.1-1
thunar-media-tags-plugin 0.4.0-1
thunar-volman 4.18.0-1
tk 8.6.13-1
tlp 1.5.0-6
tmux 3.3_a-3
tpm2-tss 4.0.1-1
tree 2.1.0-1
ttf-anonymous-pro 1.003-7
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-dejavu-nerd 3.0.1-1
ttf-droid 20121017-10
ttf-font-awesome 6.4.0-1
ttf-hack 3.003-3
ttf-icomoon-feather 1.0-1
ttf-inconsolata 1:3.000-3
ttf-inconsolata-nerd 3.0.1-1
ttf-iosevka-nerd 3.0.1-1
ttf-jetbrains-mono 2.304-1
ttf-liberation 2.1.5-1
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols 3.0.1-1
ttf-nerd-fonts-symbols-mono 3.0.1-1
ttf-roboto 2.138-4
ttf-roboto-mono 3.000-1
ttf-sourcecodepro-nerd 3.0.1-1
ttf-ubuntu-font-family 1:0.83-1
ttf-unifont 15.0.04-1
tumbler 4.18.1-1
udftools 2.3-1
udiskie 2.4.2-2
udisks2 2.9.4-1
unace 2.5-11
unrar 1:6.2.8-1
unzip 6.0-19
upd72020x-fw 1:1.0.0-1
upower 1.90.0-4
urxvt-fullscreen 1-1
urxvt-perls 2.3-2
urxvt-resize-font-git 27.b593580-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-3
usbutils 015-3
valgrind 3.21.0-1
variety 0.8.10-1
vifm 0.13-1
vim 9.0.1572-1
vimix-cursors 2020.02.24-5
volumeicon 0.5.1-5
vpnc 1:0.5.3.r526.r213-1
vtk 9.2.6-6
w3m 0.5.3.git20230121_1-1
wd719x-firmware 1-7
webkit2gtk 2.40.2-1
wget 1.21.4-1
which 2.21-6
wireless-regdb 2023.05.03-1
wireless_tools 30.pre9-3
wmctrl 1.07-6
wpa_supplicant 2:2.10-8
wvdial 1.61-8
xapp 2.4.3-2
xclip 0.13-3
xdg-desktop-portal-gtk 1.14.1-1
xdg-user-dirs 0.18-1
xdo 0.5.7-2
xdotool 3.20211022.1-1
xf86-input-elographics 1.4.3-1
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.3.0-1
xf86-input-vmmouse 13.2.0-1
xf86-input-void 1.4.2-1
xf86-video-amdgpu 23.0.0-1
xf86-video-ati 1:22.0.0-1
xf86-video-fbdev 0.5.0-3
xf86-video-openchrome 0.6.0.r798.g0c75274-2
xf86-video-vesa 2.6.0-1
xfce4-appfinder 4.18.0-1
xfce4-notifyd 0.8.2-1
xfce4-panel 4.18.4-1
xfce4-power-manager 4.18.2-1
xfce4-screenshooter 1.10.4-1
xfce4-settings 4.18.2-1
xfce4-taskmanager 1.5.5-1
xfce4-terminal 1.0.4-1
xfconf 4.18.1-1
xfsprogs 6.3.0-1
xfwm4 4.18.0-1
xkeyboard-config 2.38-1
xl2tpd 1.3.18-1
xorg-bdftopcf 1.1.1-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.8-1
xorg-server-xephyr 21.1.8-1
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.4-1
xorg-smproxy 1.0.7-1
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.5-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xkbevd 1.1.5-1
xorg-xkbprint 1.0.6-1
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.1-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xpdf 4.04-2
xreader 3.6.3-1
yad 12.3-1
yay-bin 12.0.5-1
zenity 3.44.1-1
zsh 5.9-3
zsh-autosuggestions 0.7.0-2
zsh-completions 0.34.0-4
zsh-syntax-highlighting 0.7.1-1
